🔍 Fetching applications without department mapping...

�� Summary:
Total Applications without Department: 548
Total VMs in Unknown Department: 5860

====================================================================================================
Application                                        VMs        Kritikalitas
288. ARIS (EA Tools)                                   2   Medium
289. IVAT                                              2   Unspecified
290. E-Tilang                                          2   Unspecified
291. Jenkins                                           2   Medium
292. FortiManager                                      2   Critical
293. Network Sentul Core                               2   Critical
294. SWD                                               2   Unspecified
295. Network Ragunan Core                              2   Critical
296. EDC Controller Master                             2   Unspecified
297. Portal IPM                                        2   Unspecified
298. BRIStars: Tasklist                                2   Unspecified
299. Katalon                                           2   CRA
300. NFS Backup                                        2   CRA
301. Secure Track                                      2   CRA
302. SWIFT Alliance Gateway UKLN                       2   Very High
303. CACTI                                             2   Medium
304. Onetouch Approval                                 2   Unspecified
305. AJKO                                              2   CRA, Unspecified
306. Zevenet                                           2   CRA
307. Portal CPR                                        2   Unspecified
308. E-Kios                                            2   Unspecified
309. Seafile                                           2   CRA
310. Bamboo                                            2   Low
311. HSM                                               2   Critical
312. DR Solution                                       2   Unspecified
313. Percona                                           2   Unspecified
314. FBTI Interface & FBTI Data Extractor              2   Unspecified
315. BRIStars: Adios                                   1   Medium
316. BRIBOX Ticketing System                           1   CRA
317. Brijamin                                          1   Unspecified
318. EPROC                                             1   CRA
319. A3KO (Asuransi Low)                               1   Unspecified
320. SKP                                               1   CRA
321. SourceCode                                        1   CRA
322. ABBYY OCR SME                                     1   CRA
323. Blancco Data Destruction                          1   Unspecified
324. ACI Health Check                                  1   CRA
325. Automation Tools                                  1   Unspecified
326. NFS Recording ACRA                                1   Unspecified
327. Incoming Visa                                     1   Unspecified
328. Teras Monthly                                     1   Unspecified
329. BRIGO                                             1   Unspecified
330. POC Automation Tools                              1   Unspecified
331. OPACFILTER                                        1   Unspecified
332. BRIJulo                                           1   Unspecified
333. BRINS                                             1   Unspecified
334. Aqua                                              1   CRA
335. Anaconda                                          1   CRA
336. Agile Reporter                                    1   Medium
337. BOM Dependency Tracker                            1   Unspecified
338. E-Library                                         1   Unspecified
339. DataMart                                          1   Unspecified
340. Portal Hubungan                                   1   Unspecified
341. Stablebit                                         1   CRA
342. Unstructured Data Analytics                       1   CRA
343. GLHIST                                            1   Unspecified
344. BRI Vision                                        1   CRA
345. SAV                                               1   Unspecified
346. Portal RCO                                        1   CRA
347. My BRI                                            1   Unspecified
348. Brives                                            1   Unspecified
349. BAM                                               1   Unspecified
350. Queue Mass UKLN                                   1   Unspecified
351. E-Katalog                                         1   CRA
352. OMS                                               1   CRA
353. DVWA                                              1   CRA
354. Scoring System (Predixion)                        1   Unspecified
355. Infra-Data                                        1   CRA
356. Smart Reporting                                   1   CRA
357. NEMO                                              1   CRA
358. DWH BRITL                                         1   Medium
359. Logarithm iNAC                                    1   Unspecified
360. Mimix                                             1   CRA
361. Signserver                                        1   CRA
362. MIR(Engine Terpusat Reporting Micro BRI)          1   CRA
363. WS Token                                          1   CRA
364. Docker                                            1   CRA
365. Checkmarx Database                                1   CRA
366. Portal BEA                                        1   Unspecified
367. Jetico Data Destruction                           1   Medium
368. Server EDM Testing                                1   Unspecified
369. Nios                                              1   Unspecified
370. E-Statement                                       1   Unspecified
371. Video Banking                                     1   Unspecified
372. BRI Prioritas                                     1   Unspecified
373. Payment KK                                        1   Unspecified
374. TRD Online                                        1   Unspecified
375. Portal Supplies                                   1   Unspecified
376. BRISANBOX                                         1   Unspecified
377. SSIS                                              1   CRA
378. CA Server                                         1   CRA
379. E-Catalog Himbara                                 1   Unspecified
380. Point Reward                                      1   Unspecified
381. RTE (Rincian Transaksi Export)                    1   Unspecified
382. DWH BRISG                                         1   Low
383. Backend UKLN                                      1   Unspecified
384. Report KLR                                        1   Unspecified
385. MinIO UKLN                                        1   Unspecified
386. Remote Collector                                  1   Unspecified
387. Template/System                                   1   Template/System
388. BWA                                               1   Unspecified
389. Time Scale                                        1   Unspecified
390. Visitor Management                                1   CRA
391. CNO Automation                                    1   CRA
392. Corporate Payment                                 1   CRA
393. Dashboard Eksternal File Server                   1   Unspecified
394. Dashboard VFDF Value Chain                        1   Unspecified
395. Server Terminal CNO                               1   CRA
396. Financial Crime Tool Kit                          1   Unspecified
397. DXL Broker                                        1   Unspecified
398. Toad for Oracle                                   1   Unspecified
399. BIS Distribusi                                    1   Unspecified
400. Scopia Desktop                                    1   CRA
401. Operasional MAO                                   1   Unspecified
402. E-Payslip                                         1   CRA
403. Qluepedia                                         1   Unspecified
404. SFTP BRISG                                        1   Unspecified
405. Access Door                                       1   Low
406. MyQR BRI                                          1   Unspecified
407. Conjur                                            1   Unspecified
408. VoIP                                              1   Unspecified
409. CSSM Cisco                                        1   CRA
410. Manajemen IUMK                                    1   CRA
411. Reporting MDO                                     1   Unspecified
412. E-Auction DJKN                                    1   CRA
413. Loyalty Management System (LMS)                   1   Medium
414. KLR                                               1   Unspecified
415. Digiops UiPath                                    1   Unspecified
416. IDEB                                              1   CRA
417. Portal PDM                                        1   Unspecified
418. Beban Bunga                                       1   Unspecified
419. CRHOST                                            1   Unspecified
420. SILASBRI                                          1   Unspecified
421. Power BI                                          1   CRA
422. Server VHA                                        1   Unspecified
423. Portal STI                                        1   Critical
424. DC Router                                         1   Critical
425. PEM (Postgres Enterprise Manager)                 1   CRA
426. ACRA                                              1   Unspecified
427. Brisamba                                          1   Unspecified
428. Centralized Artifact Repository                   1   Medium
429. COGNOS                                            1   CRA
430. EATL                                              1   Unspecified
431. Dashboard Supermikro                              1   Unspecified
432. Video Conference                                  1   CRA
433. SAG                                               1   CRA
434. SMI                                               1   CRA
435. MTA (Mail Transfer Agent)                         1   CRA
436. Certificate Issing                                1   CRA
437. BRILIAN News                                      1   Low
438. IBM Websphere                                     1   Unspecified
439. Database DORC                                     1   Unspecified
440. RabbitMQ UKLN                                     1   Unspecified
441. Web Server CNO                                    1   Unspecified
442. Risk Alert                                        1   Unspecified
443. Server GDP                                        1   Unspecified
444. Portal CRR & CRS                                  1   Unspecified
445. Support & Service                                 1   Low
446. Automation SDK                                    1   Unspecified
447. CAASM (Cyber Asset Attack Surface Management)     1   Unspecified
448. Konten Digital Terminal 3                         1   CRA
449. Project Automation Tools                          1   CRA
450. Portal ODR                                        1   Unspecified
451. FBI AMK / FBI Report                              1   Unspecified
452. turbonomic                                        1   CRA
453. Cloud Vision                                      1   CRA
454. Portal JKE                                        1   Unspecified
455. BRIGV                                             1   Unspecified
456. Manage Engine Application Manager                 1   CRA
457. New Reference Rate Engine                         1   Unspecified
458. Aplikasi CAO/IAO                                  1   Unspecified
459. SSB (Self Service Banking)                        1   Unspecified
460. People Analytic                                   1   CRA
461. Collateral Data Management                        1   CRA
462. GoAccess                                          1   CRA
463. H2H PPDPP                                         1   CRA
464. Early Warning Indicators (EWI)                    1   Unspecified
465. Card Management Polri                             1   CRA
466. Portal DWH BRITL                                  1   Medium
467. Database DevOps                                   1   Unspecified
468. BRIStars: BRIPASTI                                1   Unspecified
469. Pengkinian Report Server                          1   Unspecified
470. MIS                                               1   CRA
471. MISP (Malware Information Sharing Platform)       1   CRA
472. Dashboard VA Korporasi                            1   Low
473. Server HCI                                        1   CRA
474. Operasional TRO                                   1   CRA
475. Portal Big Data INF                               1   Unspecified
476. Server Platform PFO                               1   CRA
477. Portal DWH Kanpus                                 1   CRA
478. Dashboard Machine Learning Intelligent            1   CRA
479. Collect Log SOC                                   1   Unspecified
480. Virtual HMC (Hardware Management Console)         1   Unspecified
481. Public Key Infrastructure                         1   CRA
482. Forensic Tools                                    1   CRA
483. WAZUH                                             1   CRA
484. Customer Handling Management                      1   Unspecified
485. PL Core                                           1   Unspecified
486. JSON Validator                                    1   CRA
487. Info Pinjol                                       1   Unspecified
488. SIP                                               1   CRA
489. Otomasi Trea                                      1   Unspecified
490. Repository Local                                  1   Unspecified
491. Gudang MX                                         1   CRA
492. Health Check                                      1   CRA
493. MEH                                               1   Unspecified
494. VM Connection RSC                                 1   Unspecified
495. Dashboard Debitur Naik Kelas                      1   Unspecified
496. Manajemen Perangkat Infoblox                      1   CRA
497. CRHost                                            1   Unspecified
498. LCR (Liquidity Coverage Ratio)                    1   Unspecified
499. CPA (Customer Profitability Analysis)             1   Unspecified
500. VHA                                               1   Unspecified
501. Customer Porfolio Management                      1   Unspecified
502. MOOGSOFT                                          1   Medium
503. Barcode Polri                                     1   Unspecified
504. Portal DWH                                        1   Unspecified
505. RSS Timor Leste                                   1   Unspecified
506. OPCOT                                             1   Unspecified
507. Database OPX                                      1   CRA
508. Git Source Code                                   1   Unspecified
509. Portal SDM                                        1   Unspecified
510. Intelligent Financial Analytics                   1   Unspecified
511. Irregularity Detection                            1   Unspecified
512. Free Radius                                       1   CRA
513. Phone Repository                                  1   Unspecified
514. Debuging Server                                   1   CRA
515. Log Management                                    1   Critical
516. Database RnD                                      1   CRA
517. SFTP BRITL                                        1   Unspecified
518. IRRB                                              1   Unspecified
519. H2H Jamsostek                                     1   Unspecified
520. CKPN                                              1   Unspecified
521. Mobile Banking BRITW                              1   Unspecified
522. PQA                                               1   Unspecified
523. BRIKS                                             1   CRA
524. Finacle                                           1   Very High
525. NPMD                                              1   CRA
526. BRILIFE                                           1   Unspecified
527. GigaVUE                                           1   Unspecified
528. NGAWAN                                            1   CRA
529. Remote Desktop                                    1   CRA
530. BRISPAN                                           1   Unspecified
531. Skyline Appliance                                 1   Unspecified
532. Nextcloud                                         1   Unspecified
533. Notifikasi Traveloka                              1   Unspecified
534. Echa Dash - DBO                                   1   CRA
535. Kamus SHD                                         1   CRA
536. ACRS                                              1   CRA
537. Chargeback Issuing                                1   CRA
538. Logstash                                          1   CRA
539. Stimulus KUR                                      1   CRA
540. Portal BRICC                                      1   CRA
541. Visa Edit Package                                 1   CRA
542. Vendor Management System                          1   CRA
543. InterScan Web Security Virtual Appliance (IWSVA)     1   Unspecified
544. Pusat Data Elektronik                             1   CRA
545. File Project Agile Reporter                       1   Unspecified
546. Otomatisasi Health Check                          1   Unspecified
547. WPEDC                                             1   Unspecified
