"Log Management",1,"Critical","Unknown Department"
"Database RnD",1,"CRA","Unknown Department"
"SFTP BRITL",1,"Unspecified","Unknown Department"
"IRRB",1,"Unspecified","Unknown Department"
"H2H Jamsostek",1,"Unspecified","Unknown Department"
"CKPN",1,"Unspecified","Unknown Department"
"Mobile Banking BRITW",1,"Unspecified","Unknown Department"
"PQA",1,"Unspecified","Unknown Department"
"BRIKS",1,"CRA","Unknown Department"
"Finacle",1,"Very High","Unknown Department"
"NPMD",1,"CRA","Unknown Department"
"BRILIFE",1,"Unspecified","Unknown Department"
"GigaVUE",1,"Unspecified","Unknown Department"
"NGAWAN",1,"CRA","Unknown Department"
"Remote Desktop",1,"CRA","Unknown Department"
"BRISPAN",1,"Unspecified","Unknown Department"
"Skyline Appliance",1,"Unspecified","Unknown Department"
"Nextcloud",1,"Unspecified","Unknown Department"
"Notifikasi Traveloka",1,"Unspecified","Unknown Department"
"Echa Dash - DBO",1,"CRA","Unknown Department"
"Kamus SHD",1,"CRA","Unknown Department"
"ACRS",1,"CRA","Unknown Department"
"Chargeback Issuing",1,"CRA","Unknown Department"
"Logstash",1,"CRA","Unknown Department"
"Stimulus KUR",1,"CRA","Unknown Department"
"Portal BRICC",1,"CRA","Unknown Department"
"Visa Edit Package",1,"CRA","Unknown Department"
"Vendor Management System",1,"CRA","Unknown Department"
"InterScan Web Security Virtual Appliance (IWSVA)",1,"Unspecified","Unknown Department"
"Pusat Data Elektronik",1,"CRA","Unknown Department"
"File Project Agile Reporter",1,"Unspecified","Unknown Department"
"Otomatisasi Health Check",1,"Unspecified","Unknown Department"
"WPEDC",1,"Unspecified","Unknown Department"
"Proses Ratas",1,"Unspecified","Unknown Department"
